Time,X,Y,Attention
92.11143391989135,471,332,0
92.21643393896484,474,328,0
92.31243389509582,483,306,0
92.41628996376038,484,308,0
92.52329007629395,487,322,0
92.61728993896484,481,330,0
92.72671997711181,463,297,2
92.82072007820129,469,292,0
92.91275493896484,474,278,0
93.01575486457824,479,267,0
93.11675493515014,469,269,0
93.22453516975403,461,265,0
93.31953519836426,463,264,0
93.41353506103516,475,266,0
93.52349006866456,473,271,0
93.6164900038147,474,282,0
93.72749006484986,487,337,2
93.81229487220764,493,339,0
93.91129508773804,477,306,2
94.0245540743866,481,336,0
94.11255413351441,479,334,0
94.21255403814698,479,334,0
94.32075587030029,477,354,0
94.41575589891052,472,366,0
94.52475586648559,465,312,2
94.61304103814697,467,293,2
94.71104108773804,468,245,2
94.814168917984,467,236,2
94.91816900953674,430,176,2
95.01116894468689,422,184,2
95.11949903623963,416,149,2
95.21149904386903,424,153,0
95.31749899046326,425,155,0
95.41422389318848,425,160,0
95.52322409918213,423,169,0
95.61172589700317,432,187,2
95.72572597901916,427,182,0
95.81472596566772,440,186,0
95.91128823078918,442,173,0
96.02328821934509,457,183,0
96.11428806103515,467,188,0
96.21080905722046,473,200,0
96.31780893133545,472,218,0
96.4120150629425,475,242,0
96.51401506103515,479,235,0
96.6160150591278,482,210,0
96.71977805531311,497,191,0
96.81277799046326,497,203,0
96.91177820599366,488,180,0
97.02034106866455,486,185,0
97.11234107629394,476,187,0
97.21111713542176,472,195,0
97.31511698855591,481,185,0
97.42211710108948,459,179,2
97.51869888937378,413,163,2
97.61269899046326,401,184,2
97.71169896757507,410,195,2
97.81389110871888,398,203,0
97.91789120027161,421,206,0
98.0138911564026,433,206,2
98.12371094659424,642,158,2
98.21771104768372,716,122,2
98.31134491989135,740,113,2
98.42134505340576,724,142,0
98.51634484359741,663,166,2
98.62125783978271,483,171,2
98.71725803433227,302,149,2
98.81177292752075,187,121,2
98.91777287411499,23,60,2
